Technically possible output frequencies (fcw) of integrated cosine waveform (CW) Generator:
(with definition SW_FSTEP_MAX=256, default value 0 for RTC_CNTL_CK8M_DIV_SEL stays untouched)

setCwFrequency(): ftarget=93, fcw=122, abs(delta)=29, clk8mDiv=0, frequencyStep=1, stepSize=122.070312
setCwFrequency(): ftarget=94, fcw=122, abs(delta)=28, clk8mDiv=0, frequencyStep=1, stepSize=122.070312
setCwFrequency(): ftarget=95, fcw=122, abs(delta)=27, clk8mDiv=0, frequencyStep=1, stepSize=122.070312
setCwFrequency(): ftarget=96, fcw=122, abs(delta)=26, clk8mDiv=0, frequencyStep=1, stepSize=122.070312
setCwFrequency(): ftarget=97, fcw=122, abs(delta)=25, clk8mDiv=0, frequencyStep=1, stepSize=122.070312
setCwFrequency(): ftarget=98, fcw=122, abs(delta)=24, clk8mDiv=0, frequencyStep=1, stepSize=122.070312
setCwFrequency(): ftarget=99, fcw=122, abs(delta)=23, clk8mDiv=0, frequencyStep=1, stepSize=122.070312
setCwFrequency(): ftarget=100, fcw=122, abs(delta)=22, clk8mDiv=0, frequencyStep=1, stepSize=122.070312
setCwFrequency(): ftarget=101, fcw=122, abs(delta)=21, clk8mDiv=0, frequencyStep=1, stepSize=122.070312
setCwFrequency(): ftarget=102, fcw=122, abs(delta)=20, clk8mDiv=0, frequencyStep=1, stepSize=122.070312
setCwFrequency(): ftarget=103, fcw=122, abs(delta)=19, clk8mDiv=0, frequencyStep=1, stepSize=122.070312
setCwFrequency(): ftarget=104, fcw=122, abs(delta)=18, clk8mDiv=0, frequencyStep=1, stepSize=122.070312
setCwFrequency(): ftarget=105, fcw=122, abs(delta)=17, clk8mDiv=0, frequencyStep=1, stepSize=122.070312
setCwFrequency(): ftarget=106, fcw=122, abs(delta)=16, clk8mDiv=0, frequencyStep=1, stepSize=122.070312
setCwFrequency(): ftarget=107, fcw=122, abs(delta)=15, clk8mDiv=0, frequencyStep=1, stepSize=122.070312
setCwFrequency(): ftarget=108, fcw=122, abs(delta)=14, clk8mDiv=0, frequencyStep=1, stepSize=122.070312
setCwFrequency(): ftarget=109, fcw=122, abs(delta)=13, clk8mDiv=0, frequencyStep=1, stepSize=122.070312
setCwFrequency(): ftarget=110, fcw=122, abs(delta)=12, clk8mDiv=0, frequencyStep=1, stepSize=122.070312
setCwFrequency(): ftarget=111, fcw=122, abs(delta)=11, clk8mDiv=0, frequencyStep=1, stepSize=122.070312
setCwFrequency(): ftarget=112, fcw=122, abs(delta)=10, clk8mDiv=0, frequencyStep=1, stepSize=122.070312
setCwFrequency(): ftarget=113, fcw=122, abs(delta)=9, clk8mDiv=0, frequencyStep=1, stepSize=122.070312
setCwFrequency(): ftarget=114, fcw=122, abs(delta)=8, clk8mDiv=0, frequencyStep=1, stepSize=122.070312
setCwFrequency(): ftarget=115, fcw=122, abs(delta)=7, clk8mDiv=0, frequencyStep=1, stepSize=122.070312
setCwFrequency(): ftarget=116, fcw=122, abs(delta)=6, clk8mDiv=0, frequencyStep=1, stepSize=122.070312
setCwFrequency(): ftarget=117, fcw=122, abs(delta)=5, clk8mDiv=0, frequencyStep=1, stepSize=122.070312
setCwFrequency(): ftarget=118, fcw=122, abs(delta)=4, clk8mDiv=0, frequencyStep=1, stepSize=122.070312
setCwFrequency(): ftarget=119, fcw=122, abs(delta)=3, clk8mDiv=0, frequencyStep=1, stepSize=122.070312
setCwFrequency(): ftarget=120, fcw=122, abs(delta)=2, clk8mDiv=0, frequencyStep=1, stepSize=122.070312
setCwFrequency(): ftarget=121, fcw=122, abs(delta)=1, clk8mDiv=0, frequencyStep=1, stepSize=122.070312
setCwFrequency(): ftarget=122, fcw=122, abs(delta)=0, clk8mDiv=0, frequencyStep=1, stepSize=122.070312
setCwFrequency(): ftarget=123, fcw=122, abs(delta)=1, clk8mDiv=0, frequencyStep=1, stepSize=122.070312
setCwFrequency(): ftarget=124, fcw=122, abs(delta)=2, clk8mDiv=0, frequencyStep=1, stepSize=122.070312
setCwFrequency(): ftarget=125, fcw=122, abs(delta)=3, clk8mDiv=0, frequencyStep=1, stepSize=122.070312
setCwFrequency(): ftarget=126, fcw=122, abs(delta)=4, clk8mDiv=0, frequencyStep=1, stepSize=122.070312
setCwFrequency(): ftarget=127, fcw=122, abs(delta)=5, clk8mDiv=0, frequencyStep=1, stepSize=122.070312
setCwFrequency(): ftarget=128, fcw=122, abs(delta)=6, clk8mDiv=0, frequencyStep=1, stepSize=122.070312
setCwFrequency(): ftarget=129, fcw=122, abs(delta)=7, clk8mDiv=0, frequencyStep=1, stepSize=122.070312
setCwFrequency(): ftarget=130, fcw=122, abs(delta)=8, clk8mDiv=0, frequencyStep=1, stepSize=122.070312
setCwFrequency(): ftarget=131, fcw=122, abs(delta)=9, clk8mDiv=0, frequencyStep=1, stepSize=122.070312
setCwFrequency(): ftarget=132, fcw=122, abs(delta)=10, clk8mDiv=0, frequencyStep=1, stepSize=122.070312
setCwFrequency(): ftarget=133, fcw=122, abs(delta)=11, clk8mDiv=0, frequencyStep=1, stepSize=122.070312
setCwFrequency(): ftarget=134, fcw=122, abs(delta)=12, clk8mDiv=0, frequencyStep=1, stepSize=122.070312
setCwFrequency(): ftarget=135, fcw=122, abs(delta)=13, clk8mDiv=0, frequencyStep=1, stepSize=122.070312
setCwFrequency(): ftarget=136, fcw=122, abs(delta)=14, clk8mDiv=0, frequencyStep=1, stepSize=122.070312
setCwFrequency(): ftarget=137, fcw=122, abs(delta)=15, clk8mDiv=0, frequencyStep=1, stepSize=122.070312
setCwFrequency(): ftarget=138, fcw=122, abs(delta)=16, clk8mDiv=0, frequencyStep=1, stepSize=122.070312
setCwFrequency(): ftarget=139, fcw=122, abs(delta)=17, clk8mDiv=0, frequencyStep=1, stepSize=122.070312
setCwFrequency(): ftarget=140, fcw=122, abs(delta)=18, clk8mDiv=0, frequencyStep=1, stepSize=122.070312
